File ./U127_P38_R6707da62c773bad1dc4eead4_S1@100.cc.cc17o2: 232 tokens, 31 lines (not NL-terminated)
./U156_P38_R6703fb33c773bad1dc4d9c71_S3@80.cc.cc17o2 consists for 61 % of ./U166_P38_R6709356ac773bad1dc4f1c8d_S3@80.cc.cc17o2 material
./U156_P38_R6703fb33c773bad1dc4d9c71_S3@80.cc.cc17o2 consists for 16 % of ./U192_P38_R6703a04ac773bad1dc4cf5e9_S1@100.cc.cc17o2 material
./U156_P38_R6703fb33c773bad1dc4d9c71_S3@80.cc.cc17o2 consists for 13 % of ./U157_P38_R670529bac773bad1dc4e12e7_S1@100.cc.cc17o2 material
./U151_P38_R6703ba33c773bad1dc4d3f32_S3@80.cc.cc17o2 consists for 61 % of ./U158_P38_R6703a3f7c773bad1dc4d0522_S1@100.cc.cc17o2 material
./U151_P38_R6703ba33c773bad1dc4d3f32_S3@80.cc.cc17o2 consists for 39 % of ./U184_P38_R67039e57c773bad1dc4ced6e_S1@100.cc.cc17o2 material
./U189_P38_R6703a3aac773bad1dc4d03c4_S1@100.cc.cc17o2 consists for 61 % of ./U205_P38_R6703e16fc773bad1dc4d77c1_S1@100.cc.cc17o2 material
./U189_P38_R6703a3aac773bad1dc4d03c4_S1@100.cc.cc17o2 consists for 39 % of ./U190_P38_R6703982ac773bad1dc4cd09d_S1@100.cc.cc17o2 material
./U127_P38_R6707da62c773bad1dc4eead4_S1@100.cc.cc17o2 consists for 60 % of ./U140_P38_R6703b56bc773bad1dc4d2fd9_S1@100.cc.cc17o2 material
./U127_P38_R6707da62c773bad1dc4eead4_S1@100.cc.cc17o2 consists for 40 % of ./U135_P38_R6708f503c773bad1dc4f17be_S1@100.cc.cc17o2 material
./U210_P38_R670b9248c773bad1dc4f3e18_S3@80.cc.cc17o2 consists for 60 % of ./U218_P38_R670398a3c773bad1dc4cd344_S3@80.cc.cc17o2 material
./U210_P38_R670b9248c773bad1dc4f3e18_S3@80.cc.cc17o2 consists for 40 % of ./U216_P38_R6705f2d2c773bad1dc4e5c0e_S1@100.cc.cc17o2 material
./U184_P38_R67039e57c773bad1dc4ced6e_S1@100.cc.cc17o2 consists for 60 % of ./U185_P38_R67039100c773bad1dc4caa35_S1@100.cc.cc17o2 material
./U184_P38_R67039e57c773bad1dc4ced6e_S1@100.cc.cc17o2 consists for 29 % of ./U217_P38_R67039214c773bad1dc4cb00f_S1@100.cc.cc17o2 material
./U184_P38_R67039e57c773bad1dc4ced6e_S1@100.cc.cc17o2 consists for 12 % of ./U194_P38_R6706ad54c773bad1dc4ebfd5_S1@100.cc.cc17o2 material
./U216_P38_R6705f2d2c773bad1dc4e5c0e_S1@100.cc.cc17o2 consists for 59 % of ./U48_P38_R67067826c773bad1dc4ea2ea_S3@80.cc.cc17o2 material
./U216_P38_R6705f2d2c773bad1dc4e5c0e_S1@100.cc.cc17o2 consists for 31 % of ./U235_P38_R6707c328c773bad1dc4ee6aa_S1@100.cc.cc17o2 material
./U236_P38_R6703892ec773bad1dc4c854c_S1@100.cc.cc17o2 consists for 57 % of ./U238_P38_R670a398ac773bad1dc4f2bc3_S1@100.cc.cc17o2 material
./U236_P38_R6703892ec773bad1dc4c854c_S1@100.cc.cc17o2 consists for 13 % of ./U2_P38_R67039f75c773bad1dc4cf206_S1@100.cc.cc17o2 material
./U158_P38_R6703a3f7c773bad1dc4d0522_S1@100.cc.cc17o2 consists for 57 % of ./U159_P38_R67038ee4c773bad1dc4c9f65_S1@100.cc.cc17o2 material
./U158_P38_R6703a3f7c773bad1dc4d0522_S1@100.cc.cc17o2 consists for 17 % of ./U48_P38_R67067826c773bad1dc4ea2ea_S3@80.cc.cc17o2 material
./U158_P38_R6703a3f7c773bad1dc4d0522_S1@100.cc.cc17o2 consists for 10 % of ./U230_P38_R67038fb6c773bad1dc4ca3ea_S1@100.cc.cc17o2 material
./U218_P38_R670398a3c773bad1dc4cd344_S3@80.cc.cc17o2 consists for 57 % of ./U220_P38_R670a370fc773bad1dc4f2b66_S1@100.cc.cc17o2 material
./U218_P38_R670398a3c773bad1dc4cd344_S3@80.cc.cc17o2 consists for 24 % of ./U48_P38_R67067826c773bad1dc4ea2ea_S3@80.cc.cc17o2 material
./U218_P38_R670398a3c773bad1dc4cd344_S3@80.cc.cc17o2 consists for 19 % of ./U221_P38_R67038d52c773bad1dc4c973a_S1@100.cc.cc17o2 material
./U191_P38_R67038fa0c773bad1dc4ca399_S1@100.cc.cc17o2 consists for 57 % of ./U204_P38_R670396b9c773bad1dc4cc91c_S1@100.cc.cc17o2 material
./U191_P38_R67038fa0c773bad1dc4ca399_S1@100.cc.cc17o2 consists for 12 % of ./U197_P38_R67039f84c773bad1dc4cf290_S1@100.cc.cc17o2 material
./U191_P38_R67038fa0c773bad1dc4ca399_S1@100.cc.cc17o2 consists for 11 % of ./U200_P38_R67038f70c773bad1dc4ca26d_S1@100.cc.cc17o2 material
./U222_P38_R6705fe6dc773bad1dc4e6519_S1@100.cc.cc17o2 consists for 54 % of ./U235_P38_R6707c328c773bad1dc4ee6aa_S1@100.cc.cc17o2 material
./U222_P38_R6705fe6dc773bad1dc4e6519_S1@100.cc.cc17o2 consists for 18 % of ./U228_P38_R670b2119c773bad1dc4f3872_S1@100.cc.cc17o2 material
./U222_P38_R6705fe6dc773bad1dc4e6519_S1@100.cc.cc17o2 consists for 15 % of ./U224_P38_R6703851ac773bad1dc4c7147_S1@100.cc.cc17o2 material
./U140_P38_R6703b56bc773bad1dc4d2fd9_S1@100.cc.cc17o2 consists for 54 % of ./U165_P38_R670b860ec773bad1dc4f3d45_S3@80.cc.cc17o2 material
./U140_P38_R6703b56bc773bad1dc4d2fd9_S1@100.cc.cc17o2 consists for 46 % of ./U228_P38_R670b2119c773bad1dc4f3872_S1@100.cc.cc17o2 material
./U190_P38_R6703982ac773bad1dc4cd09d_S1@100.cc.cc17o2 consists for 52 % of ./U194_P38_R6706ad54c773bad1dc4ebfd5_S1@100.cc.cc17o2 material
./U190_P38_R6703982ac773bad1dc4cd09d_S1@100.cc.cc17o2 consists for 24 % of ./U205_P38_R6703e16fc773bad1dc4d77c1_S1@100.cc.cc17o2 material
./U190_P38_R6703982ac773bad1dc4cd09d_S1@100.cc.cc17o2 consists for 23 % of ./U213_P38_R67060127c773bad1dc4e67c9_S1@100.cc.cc17o2 material
./U228_P38_R670b2119c773bad1dc4f3872_S1@100.cc.cc17o2 consists for 51 % of ./U237_P38_R67039ecdc773bad1dc4cef84_S1@100.cc.cc17o2 material
./U228_P38_R670b2119c773bad1dc4f3872_S1@100.cc.cc17o2 consists for 24 % of ./U231_P38_R670896d2c773bad1dc4f0360_S1@100.cc.cc17o2 material
./U228_P38_R670b2119c773bad1dc4f3872_S1@100.cc.cc17o2 consists for 13 % of ./U236_P38_R6703892ec773bad1dc4c854c_S1@100.cc.cc17o2 material
./U181_P38_R67038839c773bad1dc4c80f9_S1@100.cc.cc17o2 consists for 51 % of ./U195_P38_R6708bc34c773bad1dc4f0d15_S3@80.cc.cc17o2 material
./U181_P38_R67038839c773bad1dc4c80f9_S1@100.cc.cc17o2 consists for 28 % of ./U236_P38_R6703892ec773bad1dc4c854c_S1@100.cc.cc17o2 material
./U181_P38_R67038839c773bad1dc4c80f9_S1@100.cc.cc17o2 consists for 22 % of ./U228_P38_R670b2119c773bad1dc4f3872_S1@100.cc.cc17o2 material
./U186_P38_R670396c5c773bad1dc4cc984_S1@100.cc.cc17o2 consists for 50 % of ./U225_P38_R67061bacc773bad1dc4e7ef5_S1@100.cc.cc17o2 material
./U186_P38_R670396c5c773bad1dc4cc984_S1@100.cc.cc17o2 consists for 20 % of ./U238_P38_R670a398ac773bad1dc4f2bc3_S1@100.cc.cc17o2 material
./U186_P38_R670396c5c773bad1dc4cc984_S1@100.cc.cc17o2 consists for 16 % of ./U208_P38_R6704baecc773bad1dc4dd349_S1@100.cc.cc17o2 material
./U186_P38_R670396c5c773bad1dc4cc984_S1@100.cc.cc17o2 consists for 13 % of ./U195_P38_R6708bc34c773bad1dc4f0d15_S3@80.cc.cc17o2 material
./U171_P38_R67087cc7c773bad1dc4efd9b_S1@100.cc.cc17o2 consists for 50 % of ./U181_P38_R67038839c773bad1dc4c80f9_S1@100.cc.cc17o2 material
./U171_P38_R67087cc7c773bad1dc4efd9b_S1@100.cc.cc17o2 consists for 31 % of ./U205_P38_R6703e16fc773bad1dc4d77c1_S1@100.cc.cc17o2 material
./U171_P38_R67087cc7c773bad1dc4efd9b_S1@100.cc.cc17o2 consists for 12 % of ./U179_P38_R67038fbac773bad1dc4ca416_S1@100.cc.cc17o2 material
./U147_P38_R67039341c773bad1dc4cb792_S1@100.cc.cc17o2 consists for 50 % of ./U159_P38_R67038ee4c773bad1dc4c9f65_S1@100.cc.cc17o2 material
./U147_P38_R67039341c773bad1dc4cb792_S1@100.cc.cc17o2 consists for 21 % of ./U232_P38_R6703c5a8c773bad1dc4d5343_S1@100.cc.cc17o2 material
./U147_P38_R67039341c773bad1dc4cb792_S1@100.cc.cc17o2 consists for 10 % of ./U155_P38_R6703ec23c773bad1dc4d884a_S1@100.cc.cc17o2 material
./U225_P38_R67061bacc773bad1dc4e7ef5_S1@100.cc.cc17o2 consists for 48 % of ./U230_P38_R67038fb6c773bad1dc4ca3ea_S1@100.cc.cc17o2 material
./U225_P38_R67061bacc773bad1dc4e7ef5_S1@100.cc.cc17o2 consists for 28 % of ./U229_P38_R67039264c773bad1dc4cb224_S1@100.cc.cc17o2 material
./U225_P38_R67061bacc773bad1dc4e7ef5_S1@100.cc.cc17o2 consists for 12 % of ./U237_P38_R67039ecdc773bad1dc4cef84_S1@100.cc.cc17o2 material
./U2_P38_R67039f75c773bad1dc4cf206_S1@100.cc.cc17o2 consists for 48 % of ./U48_P38_R67067826c773bad1dc4ea2ea_S3@80.cc.cc17o2 material
./U194_P38_R6706ad54c773bad1dc4ebfd5_S1@100.cc.cc17o2 consists for 48 % of ./U195_P38_R6708bc34c773bad1dc4f0d15_S3@80.cc.cc17o2 material
./U194_P38_R6706ad54c773bad1dc4ebfd5_S1@100.cc.cc17o2 consists for 29 % of ./U217_P38_R67039214c773bad1dc4cb00f_S1@100.cc.cc17o2 material
./U194_P38_R6706ad54c773bad1dc4ebfd5_S1@100.cc.cc17o2 consists for 14 % of ./U205_P38_R6703e16fc773bad1dc4d77c1_S1@100.cc.cc17o2 material
./U217_P38_R67039214c773bad1dc4cb00f_S1@100.cc.cc17o2 consists for 46 % of ./U229_P38_R67039264c773bad1dc4cb224_S1@100.cc.cc17o2 material
./U217_P38_R67039214c773bad1dc4cb00f_S1@100.cc.cc17o2 consists for 14 % of ./U218_P38_R670398a3c773bad1dc4cd344_S3@80.cc.cc17o2 material
./U215_P38_R670625b8c773bad1dc4e83c7_S1@100.cc.cc17o2 consists for 46 % of ./U220_P38_R670a370fc773bad1dc4f2b66_S1@100.cc.cc17o2 material
./U215_P38_R670625b8c773bad1dc4e83c7_S1@100.cc.cc17o2 consists for 19 % of ./U216_P38_R6705f2d2c773bad1dc4e5c0e_S1@100.cc.cc17o2 material
./U215_P38_R670625b8c773bad1dc4e83c7_S1@100.cc.cc17o2 consists for 11 % of ./U221_P38_R67038d52c773bad1dc4c973a_S1@100.cc.cc17o2 material
./U183_P38_R6703908bc773bad1dc4ca832_S1@100.cc.cc17o2 consists for 46 % of ./U184_P38_R67039e57c773bad1dc4ced6e_S1@100.cc.cc17o2 material
./U183_P38_R6703908bc773bad1dc4ca832_S1@100.cc.cc17o2 consists for 39 % of ./U232_P38_R6703c5a8c773bad1dc4d5343_S1@100.cc.cc17o2 material
./U183_P38_R6703908bc773bad1dc4ca832_S1@100.cc.cc17o2 consists for 15 % of ./U236_P38_R6703892ec773bad1dc4c854c_S1@100.cc.cc17o2 material
./U198_P38_R67038ccac773bad1dc4c93ea_S1@100.cc.cc17o2 consists for 44 % of ./U200_P38_R67038f70c773bad1dc4ca26d_S1@100.cc.cc17o2 material
./U198_P38_R67038ccac773bad1dc4c93ea_S1@100.cc.cc17o2 consists for 14 % of ./U205_P38_R6703e16fc773bad1dc4d77c1_S1@100.cc.cc17o2 material
./U198_P38_R67038ccac773bad1dc4c93ea_S1@100.cc.cc17o2 consists for 14 % of ./U224_P38_R6703851ac773bad1dc4c7147_S1@100.cc.cc17o2 material
./U198_P38_R67038ccac773bad1dc4c93ea_S1@100.cc.cc17o2 consists for 10 % of ./U204_P38_R670396b9c773bad1dc4cc91c_S1@100.cc.cc17o2 material
./U198_P38_R67038ccac773bad1dc4c93ea_S1@100.cc.cc17o2 consists for 10 % of ./U234_P38_R6703987dc773bad1dc4cd253_S1@100.cc.cc17o2 material
./U214_P38_R6703a98dc773bad1dc4d1815_S1@100.cc.cc17o2 consists for 44 % of ./U216_P38_R6705f2d2c773bad1dc4e5c0e_S1@100.cc.cc17o2 material
./U214_P38_R6703a98dc773bad1dc4d1815_S1@100.cc.cc17o2 consists for 15 % of ./U219_P38_R67038410c773bad1dc4c6c5a_S1@100.cc.cc17o2 material
./U214_P38_R6703a98dc773bad1dc4d1815_S1@100.cc.cc17o2 consists for 13 % of ./U215_P38_R670625b8c773bad1dc4e83c7_S1@100.cc.cc17o2 material
./U214_P38_R6703a98dc773bad1dc4d1815_S1@100.cc.cc17o2 consists for 10 % of ./U228_P38_R670b2119c773bad1dc4f3872_S1@100.cc.cc17o2 material
./U219_P38_R67038410c773bad1dc4c6c5a_S1@100.cc.cc17o2 consists for 44 % of ./U227_P38_R6703c2d7c773bad1dc4d50b2_S1@100.cc.cc17o2 material
./U219_P38_R67038410c773bad1dc4c6c5a_S1@100.cc.cc17o2 consists for 40 % of ./U224_P38_R6703851ac773bad1dc4c7147_S1@100.cc.cc17o2 material
./U219_P38_R67038410c773bad1dc4c6c5a_S1@100.cc.cc17o2 consists for 14 % of ./U222_P38_R6705fe6dc773bad1dc4e6519_S1@100.cc.cc17o2 material
./U163_P38_R6704fb3ac773bad1dc4deadb_S1@100.cc.cc17o2 consists for 44 % of ./U170_P38_R6705ce5ac773bad1dc4e4c7e_S1@100.cc.cc17o2 material
./U163_P38_R6704fb3ac773bad1dc4deadb_S1@100.cc.cc17o2 consists for 16 % of ./U185_P38_R67039100c773bad1dc4caa35_S1@100.cc.cc17o2 material
./U163_P38_R6704fb3ac773bad1dc4deadb_S1@100.cc.cc17o2 consists for 10 % of ./U236_P38_R6703892ec773bad1dc4c854c_S1@100.cc.cc17o2 material
./U163_P38_R6704fb3ac773bad1dc4deadb_S1@100.cc.cc17o2 consists for 10 % of ./U188_P38_R6703a139c773bad1dc4cfa02_S1@100.cc.cc17o2 material
./U193_P38_R670b9313c773bad1dc4f3e55_S7@0.cc.cc17o2 consists for 43 % of ./U194_P38_R6706ad54c773bad1dc4ebfd5_S1@100.cc.cc17o2 material
./U193_P38_R670b9313c773bad1dc4f3e55_S7@0.cc.cc17o2 consists for 43 % of ./U203_P38_R67052114c773bad1dc4e0698_S3@80.cc.cc17o2 material
./U227_P38_R6703c2d7c773bad1dc4d50b2_S1@100.cc.cc17o2 consists for 43 % of ./U228_P38_R670b2119c773bad1dc4f3872_S1@100.cc.cc17o2 material
./U227_P38_R6703c2d7c773bad1dc4d50b2_S1@100.cc.cc17o2 consists for 12 % of ./U234_P38_R6703987dc773bad1dc4cd253_S1@100.cc.cc17o2 material
./U227_P38_R6703c2d7c773bad1dc4d50b2_S1@100.cc.cc17o2 consists for 10 % of ./U239_P38_R670b62f7c773bad1dc4f3b2a_S3@80.cc.cc17o2 material
./U206_P38_R670893eec773bad1dc4f0256_S1@100.cc.cc17o2 consists for 41 % of ./U207_P38_R67061690c773bad1dc4e7c23_S1@100.cc.cc17o2 material
./U206_P38_R670893eec773bad1dc4f0256_S1@100.cc.cc17o2 consists for 19 % of ./U214_P38_R6703a98dc773bad1dc4d1815_S1@100.cc.cc17o2 material
./U206_P38_R670893eec773bad1dc4f0256_S1@100.cc.cc17o2 consists for 9 % of ./U234_P38_R6703987dc773bad1dc4cd253_S1@100.cc.cc17o2 material
./U224_P38_R6703851ac773bad1dc4c7147_S1@100.cc.cc17o2 consists for 40 % of ./U225_P38_R67061bacc773bad1dc4e7ef5_S1@100.cc.cc17o2 material
./U224_P38_R6703851ac773bad1dc4c7147_S1@100.cc.cc17o2 consists for 25 % of ./U227_P38_R6703c2d7c773bad1dc4d50b2_S1@100.cc.cc17o2 material
./U207_P38_R67061690c773bad1dc4e7c23_S1@100.cc.cc17o2 consists for 39 % of ./U208_P38_R6704baecc773bad1dc4dd349_S1@100.cc.cc17o2 material
./U207_P38_R67061690c773bad1dc4e7c23_S1@100.cc.cc17o2 consists for 23 % of ./U223_P38_R6707c3c0c773bad1dc4ee6d0_S1@100.cc.cc17o2 material
./U207_P38_R67061690c773bad1dc4e7c23_S1@100.cc.cc17o2 consists for 16 % of ./U211_P38_R67039bb1c773bad1dc4ce119_S1@100.cc.cc17o2 material
./U207_P38_R67061690c773bad1dc4e7c23_S1@100.cc.cc17o2 consists for 8 % of ./U226_P38_R67039a45c773bad1dc4cdaf4_S1@100.cc.cc17o2 material
./U201_P38_R670387f1c773bad1dc4c7fee_S1@100.cc.cc17o2 consists for 39 % of ./U235_P38_R6707c328c773bad1dc4ee6aa_S1@100.cc.cc17o2 material
./U201_P38_R670387f1c773bad1dc4c7fee_S1@100.cc.cc17o2 consists for 33 % of ./U203_P38_R67052114c773bad1dc4e0698_S3@80.cc.cc17o2 material
./U201_P38_R670387f1c773bad1dc4c7fee_S1@100.cc.cc17o2 consists for 27 % of ./U214_P38_R6703a98dc773bad1dc4d1815_S1@100.cc.cc17o2 material
./U174_P38_R6703c8d6c773bad1dc4d589f_S1@100.cc.cc17o2 consists for 39 % of ./U179_P38_R67038fbac773bad1dc4ca416_S1@100.cc.cc17o2 material
./U174_P38_R6703c8d6c773bad1dc4d589f_S1@100.cc.cc17o2 consists for 36 % of ./U211_P38_R67039bb1c773bad1dc4ce119_S1@100.cc.cc17o2 material
./U174_P38_R6703c8d6c773bad1dc4d589f_S1@100.cc.cc17o2 consists for 12 % of ./U180_P38_R6703b6c0c773bad1dc4d3488_S1@100.cc.cc17o2 material
./U232_P38_R6703c5a8c773bad1dc4d5343_S1@100.cc.cc17o2 consists for 39 % of ./U233_P38_R6703a1ddc773bad1dc4cfcad_S1@100.cc.cc17o2 material
./U232_P38_R6703c5a8c773bad1dc4d5343_S1@100.cc.cc17o2 consists for 37 % of ./U234_P38_R6703987dc773bad1dc4cd253_S1@100.cc.cc17o2 material
./U232_P38_R6703c5a8c773bad1dc4d5343_S1@100.cc.cc17o2 consists for 21 % of ./U238_P38_R670a398ac773bad1dc4f2bc3_S1@100.cc.cc17o2 material
./U234_P38_R6703987dc773bad1dc4cd253_S1@100.cc.cc17o2 consists for 38 % of ./U235_P38_R6707c328c773bad1dc4ee6aa_S1@100.cc.cc17o2 material
./U200_P38_R67038f70c773bad1dc4ca26d_S1@100.cc.cc17o2 consists for 38 % of ./U217_P38_R67039214c773bad1dc4cb00f_S1@100.cc.cc17o2 material
./U200_P38_R67038f70c773bad1dc4ca26d_S1@100.cc.cc17o2 consists for 9 % of ./U201_P38_R670387f1c773bad1dc4c7fee_S1@100.cc.cc17o2 material
./U161_P38_R6705302fc773bad1dc4e1bae_S1@100.cc.cc17o2 consists for 37 % of ./U178_P38_R6703946ec773bad1dc4cbd68_S1@100.cc.cc17o2 material
./U161_P38_R6705302fc773bad1dc4e1bae_S1@100.cc.cc17o2 consists for 22 % of ./U168_P38_R6708b7f9c773bad1dc4f0b2a_S1@100.cc.cc17o2 material
./U161_P38_R6705302fc773bad1dc4e1bae_S1@100.cc.cc17o2 consists for 12 % of ./U163_P38_R6704fb3ac773bad1dc4deadb_S1@100.cc.cc17o2 material
./U161_P38_R6705302fc773bad1dc4e1bae_S1@100.cc.cc17o2 consists for 11 % of ./U180_P38_R6703b6c0c773bad1dc4d3488_S1@100.cc.cc17o2 material
./U229_P38_R67039264c773bad1dc4cb224_S1@100.cc.cc17o2 consists for 37 % of ./U230_P38_R67038fb6c773bad1dc4ca3ea_S1@100.cc.cc17o2 material
./U229_P38_R67039264c773bad1dc4cb224_S1@100.cc.cc17o2 consists for 36 % of ./U2_P38_R67039f75c773bad1dc4cf206_S1@100.cc.cc17o2 material
./U229_P38_R67039264c773bad1dc4cb224_S1@100.cc.cc17o2 consists for 27 % of ./U232_P38_R6703c5a8c773bad1dc4d5343_S1@100.cc.cc17o2 material
./U205_P38_R6703e16fc773bad1dc4d77c1_S1@100.cc.cc17o2 consists for 37 % of ./U206_P38_R670893eec773bad1dc4f0256_S1@100.cc.cc17o2 material
./U205_P38_R6703e16fc773bad1dc4d77c1_S1@100.cc.cc17o2 consists for 14 % of ./U209_P38_R67038170c773bad1dc4c615d_S3@0.cc.cc17o2 material
./U205_P38_R6703e16fc773bad1dc4d77c1_S1@100.cc.cc17o2 consists for 14 % of ./U217_P38_R67039214c773bad1dc4cb00f_S1@100.cc.cc17o2 material
./U205_P38_R6703e16fc773bad1dc4d77c1_S1@100.cc.cc17o2 consists for 12 % of ./U213_P38_R67060127c773bad1dc4e67c9_S1@100.cc.cc17o2 material
./U152_P38_R6709fe72c773bad1dc4f2781_S1@100.cc.cc17o2 consists for 36 % of ./U215_P38_R670625b8c773bad1dc4e83c7_S1@100.cc.cc17o2 material
./U152_P38_R6709fe72c773bad1dc4f2781_S1@100.cc.cc17o2 consists for 24 % of ./U188_P38_R6703a139c773bad1dc4cfa02_S1@100.cc.cc17o2 material
./U152_P38_R6709fe72c773bad1dc4f2781_S1@100.cc.cc17o2 consists for 20 % of ./U211_P38_R67039bb1c773bad1dc4ce119_S1@100.cc.cc17o2 material
./U152_P38_R6709fe72c773bad1dc4f2781_S1@100.cc.cc17o2 consists for 10 % of ./U207_P38_R67061690c773bad1dc4e7c23_S1@100.cc.cc17o2 material
./U152_P38_R6709fe72c773bad1dc4f2781_S1@100.cc.cc17o2 consists for 9 % of ./U156_P38_R6703fb33c773bad1dc4d9c71_S3@80.cc.cc17o2 material
./U188_P38_R6703a139c773bad1dc4cfa02_S1@100.cc.cc17o2 consists for 36 % of ./U227_P38_R6703c2d7c773bad1dc4d50b2_S1@100.cc.cc17o2 material
./U188_P38_R6703a139c773bad1dc4cfa02_S1@100.cc.cc17o2 consists for 11 % of ./U196_P38_R6707cb52c773bad1dc4ee7cd_S1@100.cc.cc17o2 material
./U188_P38_R6703a139c773bad1dc4cfa02_S1@100.cc.cc17o2 consists for 10 % of ./U215_P38_R670625b8c773bad1dc4e83c7_S1@100.cc.cc17o2 material
./U188_P38_R6703a139c773bad1dc4cfa02_S1@100.cc.cc17o2 consists for 7 % of ./U191_P38_R67038fa0c773bad1dc4ca399_S1@100.cc.cc17o2 material
./U188_P38_R6703a139c773bad1dc4cfa02_S1@100.cc.cc17o2 consists for 7 % of ./U192_P38_R6703a04ac773bad1dc4cf5e9_S1@100.cc.cc17o2 material
./U226_P38_R67039a45c773bad1dc4cdaf4_S1@100.cc.cc17o2 consists for 35 % of ./U232_P38_R6703c5a8c773bad1dc4d5343_S1@100.cc.cc17o2 material
./U226_P38_R67039a45c773bad1dc4cdaf4_S1@100.cc.cc17o2 consists for 14 % of ./U229_P38_R67039264c773bad1dc4cb224_S1@100.cc.cc17o2 material
./U226_P38_R67039a45c773bad1dc4cdaf4_S1@100.cc.cc17o2 consists for 12 % of ./U227_P38_R6703c2d7c773bad1dc4d50b2_S1@100.cc.cc17o2 material
./U226_P38_R67039a45c773bad1dc4cdaf4_S1@100.cc.cc17o2 consists for 10 % of ./U231_P38_R670896d2c773bad1dc4f0360_S1@100.cc.cc17o2 material
./U221_P38_R67038d52c773bad1dc4c973a_S1@100.cc.cc17o2 consists for 35 % of ./U229_P38_R67039264c773bad1dc4cb224_S1@100.cc.cc17o2 material
./U221_P38_R67038d52c773bad1dc4c973a_S1@100.cc.cc17o2 consists for 17 % of ./U223_P38_R6707c3c0c773bad1dc4ee6d0_S1@100.cc.cc17o2 material
./U221_P38_R67038d52c773bad1dc4c973a_S1@100.cc.cc17o2 consists for 13 % of ./U48_P38_R67067826c773bad1dc4ea2ea_S3@80.cc.cc17o2 material
./U221_P38_R67038d52c773bad1dc4c973a_S1@100.cc.cc17o2 consists for 11 % of ./U228_P38_R670b2119c773bad1dc4f3872_S1@100.cc.cc17o2 material
./U146_P38_R670408cac773bad1dc4da999_S1@100.cc.cc17o2 consists for 35 % of ./U231_P38_R670896d2c773bad1dc4f0360_S1@100.cc.cc17o2 material
./U146_P38_R670408cac773bad1dc4da999_S1@100.cc.cc17o2 consists for 30 % of ./U220_P38_R670a370fc773bad1dc4f2b66_S1@100.cc.cc17o2 material
./U146_P38_R670408cac773bad1dc4da999_S1@100.cc.cc17o2 consists for 30 % of ./U154_P38_R6703a16cc773bad1dc4cfad2_S1@100.cc.cc17o2 material
./U155_P38_R6703ec23c773bad1dc4d884a_S1@100.cc.cc17o2 consists for 34 % of ./U196_P38_R6707cb52c773bad1dc4ee7cd_S1@100.cc.cc17o2 material
./U155_P38_R6703ec23c773bad1dc4d884a_S1@100.cc.cc17o2 consists for 18 % of ./U182_P38_R67039ca9c773bad1dc4ce59e_S1@100.cc.cc17o2 material
./U155_P38_R6703ec23c773bad1dc4d884a_S1@100.cc.cc17o2 consists for 16 % of ./U170_P38_R6705ce5ac773bad1dc4e4c7e_S1@100.cc.cc17o2 material
./U155_P38_R6703ec23c773bad1dc4d884a_S1@100.cc.cc17o2 consists for 16 % of ./U160_P38_R67051e06c773bad1dc4e032a_S1@100.cc.cc17o2 material
./U155_P38_R6703ec23c773bad1dc4d884a_S1@100.cc.cc17o2 consists for 11 % of ./U156_P38_R6703fb33c773bad1dc4d9c71_S3@80.cc.cc17o2 material
./U131_P38_R6703a900c773bad1dc4d1587_S1@100.cc.cc17o2 consists for 34 % of ./U138_P38_R670a6a1cc773bad1dc4f2e7f_S1@100.cc.cc17o2 material
./U131_P38_R6703a900c773bad1dc4d1587_S1@100.cc.cc17o2 consists for 7 % of ./U224_P38_R6703851ac773bad1dc4c7147_S1@100.cc.cc17o2 material
./U131_P38_R6703a900c773bad1dc4d1587_S1@100.cc.cc17o2 consists for 6 % of ./U223_P38_R6707c3c0c773bad1dc4ee6d0_S1@100.cc.cc17o2 material
./U192_P38_R6703a04ac773bad1dc4cf5e9_S1@100.cc.cc17o2 consists for 34 % of ./U219_P38_R67038410c773bad1dc4c6c5a_S1@100.cc.cc17o2 material
./U192_P38_R6703a04ac773bad1dc4cf5e9_S1@100.cc.cc17o2 consists for 22 % of ./U229_P38_R67039264c773bad1dc4cb224_S1@100.cc.cc17o2 material
./U192_P38_R6703a04ac773bad1dc4cf5e9_S1@100.cc.cc17o2 consists for 17 % of ./U194_P38_R6706ad54c773bad1dc4ebfd5_S1@100.cc.cc17o2 material
./U192_P38_R6703a04ac773bad1dc4cf5e9_S1@100.cc.cc17o2 consists for 15 % of ./U214_P38_R6703a98dc773bad1dc4d1815_S1@100.cc.cc17o2 material
./U192_P38_R6703a04ac773bad1dc4cf5e9_S1@100.cc.cc17o2 consists for 10 % of ./U226_P38_R67039a45c773bad1dc4cdaf4_S1@100.cc.cc17o2 material
./U175_P38_R670550f6c773bad1dc4e366b_S1@100.cc.cc17o2 consists for 33 % of ./U214_P38_R6703a98dc773bad1dc4d1815_S1@100.cc.cc17o2 material
./U175_P38_R670550f6c773bad1dc4e366b_S1@100.cc.cc17o2 consists for 27 % of ./U177_P38_R6708c923c773bad1dc4f0fbf_S3@80.cc.cc17o2 material
./U175_P38_R670550f6c773bad1dc4e366b_S1@100.cc.cc17o2 consists for 21 % of ./U181_P38_R67038839c773bad1dc4c80f9_S1@100.cc.cc17o2 material
