File ./U127_P81_R66f80d9bec56fd55436af60f_S2@83.cc.cc17o2: 154 tokens, 24 lines (not NL-terminated)
./U186_P81_R66f7ed58ec56fd55436ad21c_S1@100.cc.cc17o2 consists for 33 % of ./U48_P81_R66f7b278ec56fd554369f1ab_S1@100.cc.cc17o2 material
./U186_P81_R66f7ed58ec56fd55436ad21c_S1@100.cc.cc17o2 consists for 30 % of ./U199_P81_R66f7f563ec56fd55436adc1f_S1@100.cc.cc17o2 material
./U166_P81_R66fb9d9fec56fd55436bf3f5_S1@100.cc.cc17o2 consists for 31 % of ./U221_P81_R66f7b577ec56fd55436a0581_S1@100.cc.cc17o2 material
./U166_P81_R66fb9d9fec56fd55436bf3f5_S1@100.cc.cc17o2 consists for 22 % of ./U230_P81_R66f7c1f4ec56fd55436a508f_S1@100.cc.cc17o2 material
./U234_P81_R66f7d3a6ec56fd55436ab70e_S1@100.cc.cc17o2 consists for 31 % of ./U236_P81_R66f7c314ec56fd55436a5781_S1@100.cc.cc17o2 material
./U230_P81_R66f7c1f4ec56fd55436a508f_S1@100.cc.cc17o2 consists for 29 % of ./U232_P81_R66f7d1aeec56fd55436aaad2_S1@100.cc.cc17o2 material
./U179_P81_R66f7c2b0ec56fd55436a5534_S1@100.cc.cc17o2 consists for 29 % of ./U200_P81_R66f7be24ec56fd55436a3932_S1@100.cc.cc17o2 material
./U238_P81_R66f7e84bec56fd55436acc0e_S1@100.cc.cc17o2 consists for 29 % of ./U48_P81_R66f7b278ec56fd554369f1ab_S1@100.cc.cc17o2 material
./U226_P81_R66f7bbb7ec56fd55436a2962_S1@100.cc.cc17o2 consists for 27 % of ./U230_P81_R66f7c1f4ec56fd55436a508f_S1@100.cc.cc17o2 material
./U220_P81_R66f7c8d9ec56fd55436a7641_S2@0.cc.cc17o2 consists for 26 % of ./U221_P81_R66f7b577ec56fd55436a0581_S1@100.cc.cc17o2 material
./U224_P81_R66f7b043ec56fd554369e65d_S1@100.cc.cc17o2 consists for 24 % of ./U230_P81_R66f7c1f4ec56fd55436a508f_S1@100.cc.cc17o2 material
./U188_P81_R66f7b500ec56fd55436a01e6_S1@100.cc.cc17o2 consists for 24 % of ./U229_P81_R66f7bee2ec56fd55436a3d1e_S1@100.cc.cc17o2 material
./U155_P81_R66fa55ecec56fd55436bd01f_S1@100.cc.cc17o2 consists for 23 % of ./U199_P81_R66f7f563ec56fd55436adc1f_S1@100.cc.cc17o2 material
./U140_P81_R66f8253dec56fd55436b0895_S1@100.cc.cc17o2 consists for 23 % of ./U226_P81_R66f7bbb7ec56fd55436a2962_S1@100.cc.cc17o2 material
./U222_P81_R66f96305ec56fd55436b84c0_S1@100.cc.cc17o2 consists for 23 % of ./U225_P81_R66f8fa06ec56fd55436b372f_S1@100.cc.cc17o2 material
./U196_P81_R66f7e548ec56fd55436ac9cd_S1@100.cc.cc17o2 consists for 23 % of ./U204_P81_R66f7b4e2ec56fd55436a00cf_S1@100.cc.cc17o2 material
./U196_P81_R66f7e548ec56fd55436ac9cd_S1@100.cc.cc17o2 consists for 19 % of ./U202_P81_R66f7cd92ec56fd55436a927e_S1@100.cc.cc17o2 material
./U157_P81_R66f7be03ec56fd55436a382e_S1@100.cc.cc17o2 consists for 22 % of ./U223_P81_R66f7c326ec56fd55436a57ed_S1@100.cc.cc17o2 material
./U157_P81_R66f7be03ec56fd55436a382e_S1@100.cc.cc17o2 consists for 16 % of ./U204_P81_R66f7b4e2ec56fd55436a00cf_S1@100.cc.cc17o2 material
./U190_P81_R66f7bd62ec56fd55436a3417_S1@100.cc.cc17o2 consists for 22 % of ./U192_P81_R66f7d451ec56fd55436ab9f4_S1@100.cc.cc17o2 material
./U204_P81_R66f7b4e2ec56fd55436a00cf_S1@100.cc.cc17o2 consists for 20 % of ./U213_P81_R66f7bb61ec56fd55436a27ca_S1@100.cc.cc17o2 material
./U127_P81_R66f80d9bec56fd55436af60f_S2@83.cc.cc17o2 consists for 19 % of ./U143_P81_R66f7e934ec56fd55436acd49_S1@100.cc.cc17o2 material
